Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_20096_03030400_a1.djvu;A1;a1;a;a;1;1;1;
KRIJP_20097_03030401_a2.djvu;A2;a2;a;a;2;2;2;
KRIJP_20098_03030402_a3.djvu;A3;a3;a;a;3;3;3;
KRIJP_20099_03030403_a4.djvu;A4;a4;a;a;4;4;4;
KRIJP_20100_03030404_a5.djvu;A5;a5;a;a;5;5;5;
KRIJP_20101_03030405_a6.djvu;A6;a6;a;a;6;6;6;
KRIJP_20102_03030406_a7.djvu;A7;a7;a;a;7;7;7;
KRIJP_20189_03030407_aaron-abo.djvu;Aaron - Abo;aaron-abo;aaron;abo;1;1;8;
KRIJP_20191_03030409_abo-abundacyja.djvu;Abo-Abundacyja;abo-abundacyja;abo;abundacyja;1;1;9;
KRIJP_20190_03030408_aboabo-alboalbo-.djvu;Abo (Abo-,Albo,Albo-);aboabo-alboalbo-;abo (abo-,albo,albo-);abo (abo-,albo,albo-);1;1;10;
KRIJP_20192_03030412_aby-abowiem.djvu;Aby-Abowiem;aby-abowiem;aby;abowiem;1;1;11;Bad order
KRIJP_20195_03030411_aby3-abzac.djvu;Aby3 - Abzać;aby3-abzac;aby;abzac;3;1;12;
KRIJP_20194_03030410_aby2.djvu;Aby 2;aby2;aby ;aby ;2;2;13;
KRIJP_20196_03030413_acemetka-aftowac.djvu;Acemetka - Aftować;acemetka-aftowac;acemetka;aftować;1;1;14;
KRIJP_20197_03030414_aga-alczbant.djvu;Aga - Alczbant;aga-alczbant;aga;alczbant;1;1;15;
KRIJP_20199_03030415_ale.djvu;Ale;ale;ale;ale;1;1;16;
KRIJP_20201_03030417_ale2-albowiem.djvu;Ale2 - Albowiem;ale2-albowiem;ale;albowiem;2;1;17;Bad order
KRIJP_20200_03030416_ale2.djvu;Ale 2;ale2;ale ;ale ;2;2;18;
KRIJP_20202_03030418_aleat-angustyja.djvu;Aleat - Angustyja;aleat-angustyja;aleat;angustyja;1;1;19;
KRIJP_20204_03030419_ani.djvu;Ani;ani;ani;ani;1;1;20;
KRIJP_20205_03030420_anihilacja-apetytowy.djvu;Anihilacja - Apetytowy;anihilacja-apetytowy;anihilacja;apetytowy;1;1;21;
KRIJP_20278_03030421_apijski-arendka.djvu;Apijski - Arendka;apijski-arendka;apijski;arendka;1;1;22;
KRIJP_20280_03030422_arendowac-asystencja.djvu;Arendować - Asystencja;arendowac-asystencja;arendować;asystencja;1;1;23;
KRIJP_20285_03030423_asystent-az1.djvu;Asystent - Aż1;asystent-az1;asystent;aż;1;1;24;
KRIJP_20286_03030424_azur.djvu;Ażur;azur;ażur;ażur;1;1;25;
KRIJP_20288_03030429_b-bacsie.djvu;B - Bać się;b-bacsie;b;bać się;1;1;26;
